filename	gender	age	text
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/4905cc7a1396110c1a635c4e7b023de2.xml	1	3	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/6733b2957179358024cc5c493f28924a.xml	0	3	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/9aa58b658935d017e0827d1b42e75596.xml	0	0	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/454904ba35745fd0499f229c4b3e851c.xml	1	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/4dc094fb37152396199cb951207bb75d.xml	0	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/2213767ab6ecc93aa98e0d49cfab5baa.xml	1	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/e390535dd8f6e7b8f56c1f45aa365760.xml	0	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/c297b3ecf103e67237c8a42659a178e3.xml	1	1	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/491750704cf57fa285716407272c5a56.xml	0	1	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/1110e5330c38f208b2887f55f7296235.xml	1	3	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/3832ba1572727deb24c4969ac0b2587d.xml	1	1	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/00db29c2dc1d87c8f07b72d753f7f2c0.xml	0	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/25535d379c3ab7f473305ceace304e8c.xml	0	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/11bc4f9bbb9a6a7f1e990281c7e4b29d.xml	0	1	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/0dc5cd49689cd42b3b9e0786b59165bc.xml	1	2	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/41c74bff447d5397d817074168496fa9.xml	1	3	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/21a3849c161a739c6c7b557ca39ea04e.xml	1	4	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/81fd1684d9e48e7dfb3f389e4f0781db.xml	1	1	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/a837091210532f5e37916bba89654b2d.xml	0	3	
/home/ue/Documents/pan-2016-author-profiling/dataset/pan16-author-profiling-training-dataset-english-2016-02-29/07d5234843a6d62ae0db4dbcca854c43.xml	1	2	
